Time----------,Event----------,Altitude----------,Velocity----------,Acceleration----------,Latitude----------,Longitude----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
00:00:01:017,,-423.268,0,91170.5,43.7957,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:02:025,,-422.958,0.309719,91179.7,43.7957,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:03:033,,-423.887,-0.929149,112303,43.7957,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:04:046,,-423.268,0.61943,91187.6,43.7957,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:05:055,,-422.029,1.23889,91192.6,43.7957,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:06:072,,-422.958,-0.929175,91166,43.7957,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:07:084,,-423.268,-0.309719,91177.6,43.7957,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:08:098,,-422.029,1.23889,91179,43.7957,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:09:110,,-422.958,-0.929175,91192.8,43.7957,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:10:113,,-422.958,0,91174.7,43.7957,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:11:120,,-422.339,0.619447,91184.6,43.7957,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:12:133,,-423.577,-1.23888,91197.7,43.7957,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:13:147,,-424.816,-1.23884,91202.7,43.7957,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:14:164,,-423.577,1.23884,91181.1,43.7957,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:15:182,,-418.312,5.26557,39361.5,43.7957,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:16:186,Launch,-204.506,213.806,76008.6,43.7958,-120.651,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:17:200,,258.895,463.401,75451.4,43.7958,-120.651,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:18:220,,1005.87,746.973,77178.9,43.7959,-120.651,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:19:226,,1944.5,938.636,80666.5,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:20:237,,2700.09,755.584,86280.1,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:21:251,,3557.89,857.802,111782,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:22:263,,4687.11,1129.22,91962.3,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:23:267,,6003.12,1316.01,92102.1,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:24:273,,7417.27,1414.15,64750.9,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:25:289,,8894.57,1477.3,64655.7,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:26:299,,10350.6,1456.06,64864.6,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:27:304,,11820.1,1469.44,92375.5,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:28:316,,13273.5,1453.39,92374.6,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:29:333,,14721.6,1448.11,92373,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:30:335,,16126.5,1404.95,92440.8,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:31:349,,17441.5,1315.03,92456.9,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:32:361,,18690,1248.43,92414.6,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:33:362,,19757.8,1067.8,92397.8,43.7922,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:34:370,,20750.7,992.967,65152.7,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:35:383,,21857.7,1106.96,65156.9,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:36:397,,22837.9,980.17,65116.8,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:37:419,,23744.3,906.406,91939.9,43.7916,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:38:424,,24610.4,866.141,92395.4,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:39:436,,25498.4,887.928,92385.7,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:40:449,,26475,976.608,64679.7,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:41:461,,27206.8,731.818,64775.2,43.7913,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:42:475,,27836.4,629.569,65051.9,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:43:476,,28451.7,615.329,65254.7,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:44:493,,29006.2,554.523,65359.4,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:45:516,,29556.4,550.23,65374.3,43.7909,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:46:528,,29998.2,441.719,65430.2,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:47:549,,30440.4,442.266,65448.2,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:48:554,,30837.3,396.866,65466.1,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:49:567,,31190.2,352.901,92607,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:50:580,,31549.8,359.654,92643,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:51:593,,31807.1,257.217,92640.2,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:52:596,,32048,240.979,92638.1,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:53:604,,32294.2,246.128,92650.1,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:54:623,,32488,193.835,92645.8,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:55:628,,32588.8,100.842,92651.5,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:56:633,,32692,103.176,92639.5,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:00:57:640,,32749.1,57.0714,92623.9,GPS ERROR,GPS ERROR,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
