,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,32862.6,1477.3,,112303
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
-00:00:01:004,,-423.268,0,2.93332e+06,91170.5,1,43.7957,-120.652,N 43° 47.7448',W 120° 39.0927',65525,11,65532,11,65525,65532,0,1.39096e-307,1.39067e-307
-00:00:02:019,,-422.958,0.309719,2.93362e+06,91179.7,1,43.7957,-120.652,N 43° 47.7449',W 120° 39.0927',65467,14,65530,14,65467,65530,0,1.39096e-307,1.39067e-307
-00:00:03:035,,-423.887,-0.929149,3.61322e+06,112303,1,43.7957,-120.652,N 43° 47.7449',W 120° 39.0928',65520,14,65532,14,65520,65532,0,1.39096e-307,1.39067e-307
-00:00:04:052,,-423.268,0.61943,2.93387e+06,91187.6,1,43.7957,-120.652,N 43° 47.7449',W 120° 39.0928',65532,15,65532,15,65532,65532,0,1.39096e-307,1.39067e-307
-00:00:05:068,,-422.029,1.23889,2.93403e+06,91192.6,1,43.7957,-120.652,N 43° 47.7449',W 120° 39.0929',72,9,65532,9,72,65532,0,1.39096e-307,1.39067e-307
-00:00:06:085,,-422.958,-0.929175,2.93317e+06,91166,1,43.7957,-120.652,N 43° 47.7449',W 120° 39.093',13,18,65532,18,13,65532,0,1.39096e-307,1.39067e-307
-00:00:07:101,,-423.268,-0.309719,2.93355e+06,91177.6,1,43.7957,-120.652,N 43° 47.7449',W 120° 39.093',65498,14,65531,14,65498,65531,0,1.39096e-307,1.39067e-307
-00:00:08:101,,-422.029,1.23889,2.93359e+06,91179,1,43.7957,-120.652,N 43° 47.7449',W 120° 39.0931',65482,8,65529,8,65482,65529,0,1.39096e-307,1.39067e-307
-00:00:09:118,,-422.958,-0.929175,2.93404e+06,91192.8,1,43.7957,-120.652,N 43° 47.745',W 120° 39.0932',13,13,65531,13,13,65531,0,1.39096e-307,1.39067e-307
-00:00:10:135,,-422.958,0,2.93346e+06,91174.7,1,43.7957,-120.652,N 43° 47.745',W 120° 39.0933',23,13,65529,13,23,65529,0,1.39096e-307,1.39067e-307
-00:00:11:151,,-422.339,0.619447,2.93377e+06,91184.6,1,43.7957,-120.652,N 43° 47.745',W 120° 39.0934',65483,15,65529,15,65483,65529,0,1.39096e-307,1.39067e-307
-00:00:12:168,,-423.577,-1.23888,2.9342e+06,91197.7,1,43.7957,-120.652,N 43° 47.745',W 120° 39.0934',65493,16,65535,16,65493,65535,0,1.39096e-307,1.39067e-307
-00:00:13:187,,-424.816,-1.23884,2.93436e+06,91202.7,1,43.7957,-120.652,N 43° 47.745',W 120° 39.0935',22,12,65533,12,22,65533,0,1.39096e-307,1.39067e-307
-00:00:14:201,,-423.577,1.23884,2.93366e+06,91181.1,1,43.7957,-120.652,N 43° 47.745',W 120° 39.0935',7,12,65530,12,7,65530,0,1.39096e-307,1.39067e-307
-00:00:15:202,,-418.312,5.26557,1.26642e+06,39361.5,1,43.7957,-120.652,N 43° 47.745',W 120° 39.0935',65221,65362,65325,65362,65221,65325,0,1.39096e-307,1.39067e-307
-00:00:16:203,Launch,-204.506,213.806,2.4455e+06,76008.6,1,43.7958,-120.651,N 43° 47.7456',W 120° 39.0899',63971,65502,73,65502,63971,73,0,1.39096e-307,1.39067e-307
