,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,29971.1,4373.66,,22.554
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
-00:00:01:007,,588.256,0,33.1585,1.0306,0,43.7959,-120.652,N 43° 47.7542',W 120° 39.0901',-0.5,0.875,-0.0625,0.875,-0.5,-0.0625,0,4.55856e-312,3.14082e-317
-00:00:02:016,,588.893,0.637182,33.205,1.03205,0,43.7959,-120.652,N 43° 47.7542',W 120° 39.0901',-0.5,0.9375,-0.0625,0.9375,-0.5,-0.0625,0,4.55856e-312,3.14082e-317
-00:00:03:033,,588.574,-0.318592,33.1442,1.03016,0,43.7959,-120.652,N 43° 47.7542',W 120° 39.0901',-0.375,0.875,-0.25,0.875,-0.375,-0.25,0,4.55856e-312,3.14082e-317
-00:00:04:048,,588.893,0.318592,33.1953,1.03174,0,43.7959,-120.652,N 43° 47.7543',W 120° 39.0901',-0.4375,0.875,-0.0625,0.875,-0.4375,-0.0625,0,4.55856e-312,3.14082e-317
-00:00:05:065,,588.893,0,33.1911,1.03161,0,43.7959,-120.652,N 43° 47.7543',W 120° 39.0901',-0.5,0.875,-0.1875,0.875,-0.5,-0.1875,0,4.55856e-312,3.14082e-317
-00:00:06:080,,587.937,-0.955768,33.2376,1.03306,0,43.7959,-120.652,N 43° 47.7543',W 120° 39.0901',-0.4375,1.125,-0.0625,1.125,-0.4375,-0.0625,0,4.55856e-312,3.14082e-317
-00:00:07:081,,588.256,0.318586,33.2777,1.0343,0,43.7959,-120.651,N 43° 47.7544',W 120° 39.09',-0.5625,0.875,-0.1875,0.875,-0.5625,-0.1875,0,4.55856e-312,3.14082e-317
-00:00:08:095,,588.574,0.318589,33.2502,1.03345,0,43.7959,-120.651,N 43° 47.7544',W 120° 39.09',-0.4375,1,-15.9375,1,-0.4375,-15.9375,0,4.55856e-312,3.14082e-317
-00:00:09:096,,588.574,0,33.1496,1.03032,0,43.7959,-120.651,N 43° 47.7545',W 120° 39.0899',-0.4375,0.9375,0,0.9375,-0.4375,0,0,4.55856e-312,3.14082e-317
-00:00:10:113,,589.211,0.637188,33.2538,1.03356,0,43.7959,-120.651,N 43° 47.7546',W 120° 39.0899',-0.5,0.875,0,0.875,-0.5,0,0,4.55856e-312,3.14082e-317
-00:00:11:128,,589.211,0,33.2846,1.03452,0,43.7959,-120.651,N 43° 47.7547',W 120° 39.0899',-0.5,0.9375,-0.125,0.9375,-0.5,-0.125,0,4.55856e-312,3.14082e-317
-00:00:12:144,,588.574,-0.637188,33.2546,1.03359,0,43.7959,-120.651,N 43° 47.7547',W 120° 39.0898',-0.4375,1.0625,-0.1875,1.0625,-0.4375,-0.1875,0,4.55856e-312,3.14082e-317
-00:00:13:159,,589.53,0.955786,33.2343,1.03296,0,43.7959,-120.651,N 43° 47.7548',W 120° 39.0898',-0.4375,0.75,0.1875,0.75,-0.4375,0.1875,0,4.55856e-312,3.14082e-317
-00:00:14:176,,588.256,-1.27438,33.152,1.0304,0,43.7959,-120.651,N 43° 47.7548',W 120° 39.0898',-0.5,0.8125,-0.0625,0.8125,-0.5,-0.0625,0,4.55856e-312,3.14082e-317
-00:00:15:191,,587.937,-0.318586,33.1529,1.03042,0,43.7959,-120.651,N 43° 47.7548',W 120° 39.0898',-0.5625,1,0,1,-0.5625,0,0,4.55856e-312,3.14082e-317
-00:00:16:208,,587.937,0,33.3187,1.03558,0,43.7959,-120.651,N 43° 47.7549',W 120° 39.0898',-0.625,0.8125,-0.125,0.8125,-0.625,-0.125,0,4.55856e-312,3.14082e-317
-00:00:17:223,,588.574,0.637176,33.236,1.03301,0,43.7959,-120.651,N 43° 47.7549',W 120° 39.0898',-0.5,0.8125,0,0.8125,-0.5,0,0,4.55856e-312,3.14082e-317
-00:00:18:240,,618.217,29.6423,376.448,11.7004,0,43.7959,-120.652,N 43° 47.7548',W 120° 39.0902',21.3125,5,-12.375,5,21.3125,-12.375,0,4.55856e-312,3.14082e-317
-00:00:19:256,Launch,925.771,307.555,379.118,11.7834,0,43.7959,-120.652,N 43° 47.7562',W 120° 39.0987',-188.063,-8.3125,-3.5625,-8.3125,-188.063,-3.5625,0,4.55856e-312,3.14082e-317
00:00:01:015,,1344.29,418.514,395.315,12.2868,0,43.7958,-120.651,N 43° 47.7459',W 120° 39.0851',-394.813,-43.4375,-21.875,-43.4375,-394.813,-21.875,0,4.55856e-312,3.14082e-317
00:00:02:031,,2002.21,657.922,385.528,11.9826,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-695.938,-38,21.6875,-38,-695.938,21.6875,0,4.55856e-312,3.14082e-317
