,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,48.181,2.77003,,1.87612
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
-00:00:00:902,,2.58404e-14,0,31.4551,0.977655,1,44.5617,-123.278,N 44° 33.7025',W 123° 16.6998',-13.4375,-2,-0.0625,-2,-13.4375,-0.0625,0,1.49525e-305,5.34272e-317
-00:00:01:803,,-0.553408,-0.553408,32.5524,1.01176,1,44.5617,-123.278,N 44° 33.7024',W 123° 16.6998',12.5,-1,4.9375,-1,12.5,4.9375,0,1.49525e-305,5.34272e-317
-00:00:02:709,,-1.10681,-0.553399,32.3306,1.00487,1,44.5617,-123.278,N 44° 33.7024',W 123° 16.6998',7.125,-0.6875,-1.125,-0.6875,7.125,-1.125,0,1.49525e-305,5.34272e-317
-00:00:03:611,,-1.3835,-0.276696,32.5826,1.0127,1,44.5617,-123.278,N 44° 33.7023',W 123° 16.6997',2.6875,1.5,-0.375,1.5,2.6875,-0.375,0,1.49525e-305,5.34272e-317
-00:00:04:519,,-0.553408,0.830095,32.1214,0.998364,1,44.5617,-123.278,N 44° 33.7023',W 123° 16.6997',0.8125,2.125,0.0625,2.125,0.8125,0.0625,0,1.49525e-305,5.34272e-317
-00:00:05:432,,-1.3835,-0.830095,32.3669,1.006,1,44.5617,-123.278,N 44° 33.7022',W 123° 16.6997',0.125,0.0625,-2.125,0.0625,0.125,-2.125,0,1.49525e-305,5.34272e-317
-00:00:06:347,,-0.553408,0.830095,32.0687,0.996727,1,44.5617,-123.278,N 44° 33.7022',W 123° 16.6996',-0.1875,1.375,0,1.375,-0.1875,0,0,1.49525e-305,5.34272e-317
-00:00:07:260,,-1.6602,-1.10679,32.2728,1.00307,1,44.5617,-123.278,N 44° 33.7021',W 123° 16.6996',-2.5,-0.75,0.25,-0.75,-2.5,0.25,0,1.49525e-305,5.34272e-317
-00:00:08:160,Launch,-0.553408,1.10679,32.1759,1.00006,1,44.5617,-123.278,N 44° 33.7021',W 123° 16.6996',0.625,0.875,-0.625,0.875,0.625,-0.625,0,1.49525e-305,5.34272e-317
00:00:00:910,Landing,-1.10681,-0.553399,32.2221,1.00149,1,44.5617,-123.278,N 44° 33.7021',W 123° 16.6995',1.375,1.25,0.25,1.25,1.375,0.25,0,1.49525e-305,5.34272e-317
00:00:01:824,Landing,-1.6602,-0.55339,32.35,1.00547,1,44.5617,-123.278,N 44° 33.702',W 123° 16.6995',3.4375,2,1.375,2,3.4375,1.375,0,1.49525e-305,5.34272e-317
00:00:02:737,Landing,-1.6602,0,32.2523,1.00243,1,44.5617,-123.278,N 44° 33.702',W 123° 16.6994',-0.125,0.5625,-1.1875,0.5625,-0.125,-1.1875,0,1.49525e-305,5.34272e-317
00:00:03:650,,-1.3835,0.276694,32.3251,1.0047,1,44.5617,-123.278,N 44° 33.7019',W 123° 16.6994',0.875,1.6875,-0.25,1.6875,0.875,-0.25,0,1.49525e-305,5.34272e-317
00:00:04:550,,-1.10681,0.276696,32.1812,1.00022,1,44.5617,-123.278,N 44° 33.7019',W 123° 16.6994',0.0625,1.5,-0.875,1.5,0.0625,-0.875,0,1.49525e-305,5.34272e-317
00:00:05:462,,-0.553408,0.553399,32.2304,1.00175,1,44.5617,-123.278,N 44° 33.7019',W 123° 16.6994',1.0625,0.9375,0.75,0.9375,1.0625,0.75,0,1.49525e-305,5.34272e-317
00:00:06:374,Landing,-1.6602,-1.10679,32.3004,1.00393,1,44.5617,-123.278,N 44° 33.7018',W 123° 16.6993',0.0625,0.75,-0.75,0.75,0.0625,-0.75,0,1.49525e-305,5.34272e-317
00:00:07:299,,-0.830109,0.830089,31.9627,0.993434,1,44.5617,-123.278,N 44° 33.7018',W 123° 16.6993',2.0625,2.9375,-0.75,2.9375,2.0625,-0.75,0,1.49525e-305,5.34272e-317
00:00:08:201,,-0.553408,0.276701,32.0338,0.995642,1,44.5617,-123.278,N 44° 33.7018',W 123° 16.6993',2.25,1.5625,1.125,1.5625,2.25,1.125,0,1.49525e-305,5.34272e-317
00:00:09:102,Landing,-1.3835,-0.830095,32.0573,0.996374,1,44.5617,-123.278,N 44° 33.7017',W 123° 16.6993',-4,0.4375,2.875,0.4375,-4,2.875,0,1.49525e-305,5.34272e-317
00:00:10:011,Landing,-1.93689,-0.553386,32.0423,0.995908,1,44.5617,-123.278,N 44° 33.7017',W 123° 16.6992',0.3125,2.125,-7.1875,2.125,0.3125,-7.1875,0,1.49525e-305,5.34272e-317
00:00:10:924,,-1.10681,0.830082,32.6825,1.0158,1,44.5617,-123.278,N 44° 33.7016',W 123° 16.6992',4.4375,1.8125,-1.5,1.8125,4.4375,-1.5,0,1.49525e-305,5.34272e-317
00:00:11:837,,-0.830109,0.276698,32.4883,1.00977,1,44.5617,-123.278,N 44° 33.7016',W 123° 16.6992',-4.25,0.1875,-1.625,0.1875,-4.25,-1.625,0,1.49525e-305,5.34272e-317
00:00:12:751,Landing,-1.10681,-0.276698,31.4528,0.977584,1,44.5617,-123.278,N 44° 33.7016',W 123° 16.6992',-4.5625,0.375,-1,0.375,-4.5625,-1,0,1.49525e-305,5.34272e-317
00:00:13:667,,-0.830109,0.276698,32.2903,1.00362,1,44.5617,-123.278,N 44° 33.7015',W 123° 16.6991',1.25,1.5,0.5625,1.5,1.25,0.5625,0,1.49525e-305,5.34272e-317
00:00:14:578,Landing,-0.830109,0,32.1522,0.999321,1,44.5617,-123.278,N 44° 33.7015',W 123° 16.6991',-6.25,-0.75,-1.25,-0.75,-6.25,-1.25,0,1.49525e-305,5.34272e-317
00:00:15:491,,-0.553408,0.276701,32.4797,1.0095,1,44.5617,-123.278,N 44° 33.7015',W 123° 16.6991',2.25,1.5,0.375,1.5,2.25,0.375,0,1.49525e-305,5.34272e-317
00:00:16:405,Landing,-0.830109,-0.276701,32.0328,0.99561,1,44.5617,-123.278,N 44° 33.7015',W 123° 16.6991',-3.125,1.625,-2.875,1.625,-3.125,-2.875,0,1.49525e-305,5.34272e-317
00:00:17:319,,-0.276705,0.553404,32.161,0.999597,1,44.5617,-123.278,N 44° 33.7015',W 123° 16.6991',-6,-0.0625,-2.1875,-0.0625,-6,-2.1875,0,1.49525e-305,5.34272e-317
00:00:18:237,Landing,-1.10681,-0.830102,32.3136,1.00434,0,44.5617,-123.278,N 44° 33.7015',W 123° 16.699',-0.625,1.1875,-1.125,1.1875,-0.625,-1.125,0,1.49525e-305,5.34272e-317
00:00:19:145,Landing,-1.3835,-0.276696,32.2416,1.0021,1,44.5617,-123.278,N 44° 33.7015',W 123° 16.699',-2,0.75,-1.4375,0.75,-2,-1.4375,0,1.49525e-305,5.34272e-317
00:00:20:059,Landing,-1.3835,0,31.7146,0.98572,1,44.5617,-123.278,N 44° 33.7016',W 123° 16.699',-2.875,-0.875,-3.125,-0.875,-2.875,-3.125,0,1.49525e-305,5.34272e-317
00:00:20:972,,-1.10681,0.276696,31.4112,0.976292,1,44.5617,-123.278,N 44° 33.7016',W 123° 16.699',-3.6875,-5,-4.9375,-5,-3.6875,-4.9375,0,1.49525e-305,5.34272e-317
00:00:21:885,Landing,-1.93689,-0.830082,34.1152,1.06033,1,44.5617,-123.278,N 44° 33.7016',W 123° 16.699',46.625,21.875,4.375,21.875,46.625,4.375,0,1.49525e-305,5.34272e-317
00:00:22:803,,-1.10681,0.830082,31.7755,0.987614,1,44.5617,-123.278,N 44° 33.7017',W 123° 16.6989',4.5625,3.375,0.9375,3.375,4.5625,0.9375,0,1.49525e-305,5.34272e-317
00:00:23:712,Landing,-1.10681,0,33.4908,1.04093,1,44.5617,-123.278,N 44° 33.7018',W 123° 16.6989',0.8125,1.3125,-2.5,1.3125,0.8125,-2.5,0,1.49525e-305,5.34272e-317
00:00:24:625,Landing,-1.93689,-0.830082,34.4922,1.07205,1,44.5617,-123.278,N 44° 33.7018',W 123° 16.6988',22.1875,9.6875,3.5,9.6875,22.1875,3.5,0,1.49525e-305,5.34272e-317
00:00:25:539,,-1.6602,0.276692,31.3277,0.973697,1,44.5617,-123.278,N 44° 33.7018',W 123° 16.6986',-9.875,8.3125,-1.3125,8.3125,-9.875,-1.3125,0,1.49525e-305,5.34272e-317
00:00:26:452,Landing,-1.93689,-0.276692,31.8205,0.989014,1,44.5617,-123.278,N 44° 33.7018',W 123° 16.6986',-15.8125,-13.375,-3.3125,-13.375,-15.8125,-3.3125,0,1.49525e-305,5.34272e-317
00:00:27:368,,-1.3835,0.553386,32.1326,0.998712,1,44.5617,-123.278,N 44° 33.7018',W 123° 16.6988',-8.5625,-14.5,-0.5625,-14.5,-8.5625,-0.5625,0,1.49525e-305,5.34272e-317
00:00:28:279,Landing,-1.93689,-0.553386,27.9759,0.869519,1,44.5617,-123.278,N 44° 33.7018',W 123° 16.6991',-49.1875,-2.625,12.9375,-2.625,-49.1875,12.9375,0,1.49525e-305,5.34272e-317
00:00:29:192,,-1.3835,0.553386,28.8136,0.895556,1,44.5617,-123.278,N 44° 33.7017',W 123° 16.6996',72.4375,-16.3125,39.1875,-16.3125,72.4375,39.1875,0,1.49525e-305,5.34272e-317
00:00:30:106,Landing,-1.93689,-0.553386,43.7756,1.36059,1,44.5617,-123.278,N 44° 33.7017',W 123° 16.7002',71.4375,-11.625,-7.5625,-11.625,71.4375,-7.5625,0,1.49525e-305,5.34272e-317
00:00:31:019,,-1.3835,0.553386,32.6327,1.01426,1,44.5617,-123.278,N 44° 33.7017',W 123° 16.7004',-26.375,15.1875,-9.5625,15.1875,-26.375,-9.5625,0,1.49525e-305,5.34272e-317
00:00:31:921,,-0.553408,0.830095,32.4416,1.00832,1,44.5617,-123.278,N 44° 33.7018',W 123° 16.7004',-8.6875,1.8125,15.625,1.8125,-8.6875,15.625,0,1.49525e-305,5.34272e-317
00:00:32:829,Landing,-2.21358,-1.66017,32.3265,1.00474,1,44.5617,-123.278,N 44° 33.7019',W 123° 16.7004',-7.875,-20,7,-20,-7.875,7,0,1.49525e-305,5.34272e-317
00:00:33:744,,-1.10681,1.10677,34.1149,1.06032,1,44.5617,-123.278,N 44° 33.702',W 123° 16.7003',79.9375,133.438,29.3125,133.438,79.9375,29.3125,0,1.49525e-305,5.34272e-317
00:00:34:657,Landing,-1.3835,-0.276696,34.5651,1.07432,1,44.5617,-123.278,N 44° 33.7021',W 123° 16.7004',20.3125,24,-5.6875,24,20.3125,-5.6875,0,1.49525e-305,5.34272e-317
00:00:35:570,,-0.830109,0.553395,32.0866,0.997285,1,44.5617,-123.278,N 44° 33.7022',W 123° 16.7003',-2.4375,-0.9375,0.25,-0.9375,-2.4375,0.25,0,1.49525e-305,5.34272e-317
00:00:36:489,Landing,-0.830109,0,32.1157,0.998189,1,44.5617,-123.278,N 44° 33.7023',W 123° 16.7003',-0.3125,1.5,-1.125,1.5,-0.3125,-1.125,0,1.49525e-305,5.34272e-317
00:00:37:396,Landing,-1.3835,-0.553395,32.2238,1.00155,1,44.5617,-123.278,N 44° 33.7024',W 123° 16.7003',1,0.625,-0.9375,0.625,1,-0.9375,0,1.49525e-305,5.34272e-317
00:00:38:311,Landing,-1.93689,-0.553386,32.4381,1.00821,1,44.5617,-123.278,N 44° 33.7024',W 123° 16.7003',-0.875,2.0625,-3.375,2.0625,-0.875,-3.375,0,1.49525e-305,5.34272e-317
00:00:39:224,,-1.6602,0.276692,32.7279,1.01722,1,44.5617,-123.278,N 44° 33.7025',W 123° 16.7003',-3.9375,7.8125,-7.6875,7.8125,-3.9375,-7.6875,0,1.49525e-305,5.34272e-317
00:00:40:137,,-1.3835,0.276694,32.1499,0.999252,1,44.5617,-123.278,N 44° 33.7025',W 123° 16.7002',-6.25,2.9375,-4.8125,2.9375,-6.25,-4.8125,0,1.49525e-305,5.34272e-317
00:00:41:074,,-0.553408,0.830095,30.6818,0.953621,1,44.5617,-123.278,N 44° 33.7025',W 123° 16.7002',-8.1875,-13.125,14.375,-13.125,-8.1875,14.375,0,1.49525e-305,5.34272e-317
00:00:41:981,Landing,-1.3835,-0.830095,23.7056,0.736794,1,44.5617,-123.278,N 44° 33.7025',W 123° 16.7005',26.5625,27.625,-31.4375,27.625,26.5625,-31.4375,0,1.49525e-305,5.34272e-317
00:00:42:894,Landing,-1.6602,-0.276694,40.9865,1.2739,1,44.5617,-123.278,N 44° 33.7025',W 123° 16.7011',-10.875,-26.875,8.5625,-26.875,-10.875,8.5625,0,1.49525e-305,5.34272e-317
00:00:44:721,,-1.10681,0.55339,49.789,1.54749,0,44.5617,-123.278,N 44° 33.7022',W 123° 16.7019',-42.0625,21,-39.3125,21,-42.0625,-39.3125,0,1.49525e-305,5.34272e-317
00:00:45:637,,-0.553408,0.553399,28.0812,0.872792,1,44.5617,-123.278,N 44° 33.7019',W 123° 16.7028',-94.5625,9.75,-44.125,9.75,-94.5625,-44.125,0,1.49525e-305,5.34272e-317
00:00:46:547,,-0.276705,0.276703,20.4596,0.635904,1,44.5617,-123.278,N 44° 33.7016',W 123° 16.7036',-81.4375,-70.1875,25,-70.1875,-81.4375,25,0,1.49525e-305,5.34272e-317
00:00:47:461,,0.276707,0.553413,22.3074,0.693337,0,44.5617,-123.278,N 44° 33.7017',W 123° 16.7047',34.4375,-55.375,12.0625,-55.375,34.4375,12.0625,0,1.49525e-305,5.34272e-317
00:00:48:381,,3.04391,2.7672,33.2187,1.03247,0,44.5617,-123.278,N 44° 33.7016',W 123° 16.7057',-29.5,22.1875,45.1875,22.1875,-29.5,45.1875,0,1.49525e-305,5.34272e-317
00:00:49:298,,5.25783,2.21392,27.7664,0.863007,0,44.5617,-123.278,N 44° 33.7021',W 123° 16.7065',-13.375,10.75,63.5625,10.75,-13.375,63.5625,0,1.49525e-305,5.34272e-317
00:00:50:214,Landing,5.25783,0,38.9474,1.21052,0,44.5617,-123.278,N 44° 33.7016',W 123° 16.7069',-14.1875,10,40.125,10,-14.1875,40.125,0,1.49525e-305,5.34272e-317
00:00:51:130,,5.81133,0.553503,38.6861,1.2024,0,44.5617,-123.278,N 44° 33.7018',W 123° 16.7066',21.9375,7.375,43.3125,7.375,21.9375,43.3125,0,1.49525e-305,5.34272e-317
00:00:52:044,,8.02543,2.2141,17.6279,0.547891,0,44.5617,-123.278,N 44° 33.7016',W 123° 16.7057',23.1875,-29.625,0,-29.625,23.1875,0,0,1.49525e-305,5.34272e-317
