,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,4.00545e-307,8.90258e-307,,4.29443
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
-00:00:00:819,,0,0,128.855,4.00493,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.75,-0.5625,0.1875,-0.5625,3.75,0.1875,-49.6667,8.90258e-307,8.9003e-307
-00:00:02:137,,0,0,128.964,4.00833,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.625,-0.5,0.125,-0.5,3.625,0.125,-51.5,8.90258e-307,8.9003e-307
-00:00:03:655,,0,0,129.011,4.00979,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.6875,-0.5,0.0625,-0.5,3.6875,0.0625,-49.6667,8.90258e-307,8.9003e-307
-00:00:05:178,,0,0,128.964,4.00833,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.625,-0.5,0.125,-0.5,3.625,0.125,-49.6667,8.90258e-307,8.9003e-307
-00:00:06:705,,0,0,129.011,4.0098,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.625,-0.4375,0.125,-0.4375,3.625,0.125,-50.6667,8.90258e-307,8.9003e-307
-00:00:08:230,,0,0,128.76,4.00199,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.625,-0.5625,0.25,-0.5625,3.625,0.25,-50.6667,8.90258e-307,8.9003e-307
-00:00:09:740,,0,0,129.027,4.01029,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.6875,-0.4375,0.125,-0.4375,3.6875,0.125,-49.6667,8.90258e-307,8.9003e-307
-00:00:11:263,,0,0,129.011,4.00979,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.75,-0.5,0.125,-0.5,3.75,0.125,-49.1667,8.90258e-307,8.9003e-307
-00:00:12:789,,0,0,128.901,4.00638,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.6875,-0.5,0.125,-0.5,3.6875,0.125,-49.3333,8.90258e-307,8.9003e-307
-00:00:14:313,,0,0,128.98,4.00882,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.6875,-0.5,0.25,-0.5,3.6875,0.25,-50,8.90258e-307,8.9003e-307
-00:00:15:839,,0,0,128.933,4.00736,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.625,-0.5625,0.1875,-0.5625,3.625,0.1875,-49.5,8.90258e-307,8.9003e-307
-00:00:17:380,,0,0,129.027,4.01029,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.6875,-0.5,0.1875,-0.5,3.6875,0.1875,-48.1667,8.90258e-307,8.9003e-307
-00:00:18:923,,0,0,128.901,4.00638,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.6875,-0.5,0.1875,-0.5,3.6875,0.1875,-50.1667,8.90258e-307,8.9003e-307
-00:00:20:430,,0,0,129.011,4.0098,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.6875,-0.5,0.125,-0.5,3.6875,0.125,-49.3333,8.90258e-307,8.9003e-307
-00:00:21:956,,0,0,128.869,4.00539,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.625,-0.5,0.125,-0.5,3.625,0.125,-49.6667,8.90258e-307,8.9003e-307
-00:00:23:490,,0,0,129.137,4.01371,127,40.0651,-105.21,N 40° 3.9039',W 105° 12.5792',3.6875,-0.5,0.0625,-0.5,3.6875,0.0625,-50.1667,8.90258e-307,8.9003e-307
