,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,140025,139922,,12.2278
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
-00:00:01:004,,0,0,32.1232,0.998421,1,32.9435,-106.914,N 32° 56.6092',W 106° 54.8465',-0.25,1,-0.0625,1,-0.25,-0.0625,0,2.22518e-307,9.34562e-307
-00:00:02:019,,1.28182,1.28182,32.1887,1.00046,1,32.9435,-106.914,N 32° 56.6092',W 106° 54.8464',-0.5,0.9375,0,0.9375,-0.5,0,0,2.22518e-307,9.34562e-307
-00:00:03:034,,0.32045,-0.961367,28.2124,0.876869,1,32.9435,-106.914,N 32° 56.6092',W 106° 54.8464',-0.5625,1.125,-0.1875,1.125,-0.5625,-0.1875,0,2.22518e-307,9.34562e-307
-00:00:04:050,,0.32045,0,32.1598,0.999558,1,32.9435,-106.914,N 32° 56.6092',W 106° 54.8464',-0.375,0.875,-0.125,0.875,-0.375,-0.125,0,2.22518e-307,9.34562e-307
-00:00:05:066,,0.32045,0,32.2442,1.00218,1,32.9435,-106.914,N 32° 56.6091',W 106° 54.8464',-0.5,1,-0.1875,1,-0.5,-0.1875,0,2.22518e-307,9.34562e-307
-00:00:06:081,,0.32045,0,32.1614,0.999608,1,32.9435,-106.914,N 32° 56.6091',W 106° 54.8464',-0.5,0.9375,-0.3125,0.9375,-0.5,-0.3125,0,2.22518e-307,9.34562e-307
-00:00:07:082,,0.32045,0,32.1821,1.00025,0,32.9435,-106.914,N 32° 56.6091',W 106° 54.8464',-0.375,1,-0.0625,1,-0.375,-0.0625,0,2.22518e-307,9.34562e-307
-00:00:08:082,,0.961358,0.640908,32.1053,0.997863,1,32.9435,-106.914,N 32° 56.6091',W 106° 54.8464',-0.5,0.875,0,0.875,-0.5,0,0,2.22518e-307,9.34562e-307
-00:00:09:096,,0.640902,-0.320456,32.2132,1.00122,1,32.9435,-106.914,N 32° 56.6091',W 106° 54.8464',-0.375,1,-0.3125,1,-0.375,-0.3125,0,2.22518e-307,9.34562e-307
-00:00:10:113,,1.28182,0.640915,32.1851,1.00035,1,32.9435,-106.914,N 32° 56.6091',W 106° 54.8464',-0.5625,0.9375,-0.125,0.9375,-0.5625,-0.125,0,2.22518e-307,9.34562e-307
-00:00:11:129,,0.640902,-0.640915,32.1282,0.998576,1,32.9435,-106.914,N 32° 56.6091',W 106° 54.8464',-0.4375,0.875,-0.25,0.875,-0.4375,-0.25,0,2.22518e-307,9.34562e-307
-00:00:12:145,,8.65323,8.01233,331.238,10.2952,1,32.9435,-106.914,N 32° 56.609',W 106° 54.8463',35.0625,-0.1875,-6.75,-0.1875,35.0625,-6.75,0,2.22518e-307,9.34562e-307
-00:00:13:161,Launch,261.562,252.908,392.789,12.2083,7,32.9436,-106.914,N 32° 56.6155',W 106° 54.8536',-273.688,24.625,-16.6875,24.625,-273.688,-16.6875,0,2.22518e-307,9.34562e-307
00:00:01:016,,612.93,351.369,393.419,12.2278,8,32.9434,-106.914,N 32° 56.605',W 106° 54.8321',-202.75,110.688,-46.9375,110.688,-202.75,-46.9375,0,2.22518e-307,9.34562e-307
00:00:02:032,,1350.56,737.626,374.808,11.6494,8,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-424.063,-28.6875,-9.1875,-28.6875,-424.063,-9.1875,0,2.22518e-307,9.34562e-307
00:00:03:049,,1608.04,257.481,229.827,7.14326,7,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-100.563,2.0625,-0.6875,2.0625,-100.563,-0.6875,0,2.22518e-307,9.34562e-307
00:00:04:064,,2362.97,754.932,40.8535,1.26977,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-45,5.625,-5.0625,5.625,-45,-5.0625,0,2.22518e-307,9.34562e-307
00:00:05:081,,3338.42,975.45,14.5989,0.453747,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-23.3125,-0.4375,-3.5,-0.4375,-23.3125,-3.5,0,2.22518e-307,9.34562e-307
00:00:06:096,,4481.03,1142.61,53.206,1.65369,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-44.8125,0.5625,0,0.5625,-44.8125,0,0,2.22518e-307,9.34562e-307
00:00:07:113,,5697.89,1216.86,47.4624,1.47518,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-68.375,-1.75,-0.9375,-1.75,-68.375,-0.9375,0,2.22518e-307,9.34562e-307
00:00:08:129,,6958.37,1260.48,42.6402,1.3253,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-125.438,2.8125,-3.5625,2.8125,-125.438,-3.5625,0,2.22518e-307,9.34562e-307
00:00:09:144,,8207.93,1249.56,36.2958,1.12811,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-197.5,1.1875,-4.375,1.1875,-197.5,-4.375,0,2.22518e-307,9.34562e-307
00:00:10:160,,9412.93,1204.99,31.7229,0.985981,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-242.25,-0.25,-4.4375,-0.25,-242.25,-4.4375,0,2.22518e-307,9.34562e-307
00:00:11:177,,10595.4,1182.5,27.8415,0.865342,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-253.563,-0.6875,-5.625,-0.6875,-253.563,-5.625,0,2.22518e-307,9.34562e-307
00:00:12:192,,11660.6,1065.2,19.3475,0.601341,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-250.188,2,-5.5,2,-250.188,-5.5,0,2.22518e-307,9.34562e-307
00:00:13:209,,12730.7,1070.05,17.8227,0.553946,0,32.9411,-106.905,N 32° 56.4667',W 106° 54.3022',-233.188,-2.625,-6.4375,-2.625,-233.188,-6.4375,0,2.22518e-307,9.34562e-307
00:00:14:224,,13680.7,950.006,16.4322,0.510731,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-272.563,15.75,-7.5625,15.75,-272.563,-7.5625,0,2.22518e-307,9.34562e-307
00:00:15:225,,14660,979.36,14.0002,0.435141,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-369.188,-0.6875,-11.25,-0.6875,-369.188,-11.25,0,2.22518e-307,9.34562e-307
00:00:16:240,,15784.3,1124.24,8.63856,0.268495,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-407.75,2.8125,-15.875,2.8125,-407.75,-15.875,0,2.22518e-307,9.34562e-307
00:00:17:256,,16568.8,784.485,11.3541,0.352896,0,32.9404,-106.902,N 32° 56.4232',W 106° 54.1401',-407.063,8.375,-22.125,8.375,-407.063,-22.125,0,2.22518e-307,9.34562e-307
00:00:18:272,,17356.5,787.712,10.9879,0.341515,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-399.25,13.75,-25.5,13.75,-399.25,-25.5,0,2.22518e-307,9.34562e-307
00:00:19:288,,18255.6,899.124,11.0318,0.34288,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-378.875,19.125,-31.3125,19.125,-378.875,-31.3125,0,2.22518e-307,9.34562e-307
00:00:20:305,,19023.6,767.984,13.1954,0.410127,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-351.625,37.1875,-40.4375,37.1875,-351.625,-40.4375,0,2.22518e-307,9.34562e-307
00:00:21:320,,19746.7,723.141,15.685,0.487507,0,32.9397,-106.9,N 32° 56.3795',W 106° 53.9897',-207.938,-44.25,-30.8125,-44.25,-207.938,-30.8125,0,2.22518e-307,9.34562e-307
00:00:22:336,,21372.1,1625.38,6.25154,0.194304,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-486.938,1.875,9.375,1.875,-486.938,9.375,0,2.22518e-307,9.34562e-307
00:00:23:351,,22257.5,885.364,3.48368,0.108276,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-305.5,7.5,-5.625,7.5,-305.5,-5.625,0,2.22518e-307,9.34562e-307
00:00:24:352,,22714.4,456.924,3.17329,0.098629,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-288.125,4.5625,6.6875,4.5625,-288.125,6.6875,0,2.22518e-307,9.34562e-307
00:00:25:367,,23481.1,766.666,1.90339,0.0591593,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-200.75,-5.25,-1.25,-5.25,-200.75,-1.25,0,2.22518e-307,9.34562e-307
00:00:26:371,,23795.7,314.611,1.74097,0.0541111,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-173.313,1.875,0.5,1.875,-173.313,0.5,0,2.22518e-307,9.34562e-307
00:00:27:383,,24715,919.317,1.00101,0.0311123,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-113.125,-3.0625,-3.3125,-3.0625,-113.125,-3.3125,0,2.22518e-307,9.34562e-307
00:00:28:399,,25113.3,398.316,0.994195,0.0309006,0,32.9371,-106.89,N 32° 56.227',W 106° 53.4146',-79.375,-6.0625,-7.875,-6.0625,-79.375,-7.875,0,2.22518e-307,9.34562e-307
00:00:29:415,Apogee,25019.8,-93.4665,39.659,1.23264,4.47214,32.9366,-106.888,N 32° 56.1963',W 106° 53.3004',134.375,48.8125,-136.438,48.8125,134.375,-136.438,0,2.22518e-307,9.34562e-307
00:00:30:431,,24819.9,-199.939,115.018,3.57486,1,32.9363,-106.887,N 32° 56.1784',W 106° 53.2408',-713.688,370.25,-643.688,370.25,-713.688,-643.688,0,2.22518e-307,9.34562e-307
00:00:31:448,,24577,-242.948,108.728,3.37937,5.38516,32.9362,-106.887,N 32° 56.1698',W 106° 53.2102',471,312.125,-268.563,312.125,471,-268.563,0,2.22518e-307,9.34562e-307
00:00:32:464,,24455.6,-121.388,90.0629,2.79924,2.44949,32.9361,-106.887,N 32° 56.1667',W 106° 53.1948',977.625,128,666.5,128,977.625,666.5,0,2.22518e-307,9.34562e-307
00:00:33:479,,24360.7,-94.8423,85.4678,2.65642,7.68115,32.9361,-106.886,N 32° 56.163',W 106° 53.1839',-508.875,-463.313,261.688,-463.313,-508.875,261.688,0,2.22518e-307,9.34562e-307
00:00:34:495,,24266.2,-94.5126,16.3628,0.508571,2,32.936,-106.886,N 32° 56.1616',W 106° 53.1726',213,-670.625,268.813,-670.625,213,268.813,0,2.22518e-307,9.34562e-307
00:00:35:511,,24114.7,-151.543,205.396,6.38391,3,32.936,-106.886,N 32° 56.1583',W 106° 53.1621',1141.31,614.375,-112.75,614.375,1141.31,-112.75,0,2.22518e-307,9.34562e-307
00:00:36:528,,23804.9,-309.789,109.407,3.40048,2.44949,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,1658.63,-285.875,-510.875,-285.875,1658.63,-510.875,0,2.22518e-307,9.34562e-307
00:00:37:543,,23618.6,-186.31,130.653,4.06081,1,32.9359,-106.886,N 32° 56.1559',W 106° 53.1394',379.063,-376.813,619.25,-376.813,379.063,619.25,0,2.22518e-307,9.34562e-307
00:00:38:559,,22734.8,-883.747,203.037,6.3106,3.74166,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-2047.94,-98.375,-264.875,-98.375,-2047.94,-264.875,0,2.22518e-307,9.34562e-307
00:00:39:575,,22620,-114.857,153.862,4.78218,1.41421,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,288.75,-194.25,87.375,-194.25,288.75,87.375,0,2.22518e-307,9.34562e-307
00:00:40:592,,22293.6,-326.32,260.521,8.09725,1.41421,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,1399.63,-515.125,-597.75,-515.125,1399.63,-597.75,0,2.22518e-307,9.34562e-307
00:00:41:607,,22273.5,-20.1002,34.7947,1.08145,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-665.875,-49.0625,-518.188,-49.0625,-665.875,-518.188,0,2.22518e-307,9.34562e-307
00:00:42:623,,22278.2,4.68875,141.956,4.41212,2.44949,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-1484.63,26.875,-326.75,26.875,-1484.63,-326.75,0,2.22518e-307,9.34562e-307
00:00:43:639,,21777,-501.198,37.3889,1.16208,2,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,43.375,-207.563,-96.625,-207.563,43.375,-96.625,0,2.22518e-307,9.34562e-307
00:00:44:656,,21579.7,-197.32,140.418,4.36433,1.73205,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,1636.25,-241.188,246.25,-241.188,1636.25,246.25,0,2.22518e-307,9.34562e-307
00:00:45:671,,21343.6,-236.118,209.659,6.51641,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-999.125,434.125,327.5,434.125,-999.125,327.5,0,2.22518e-307,9.34562e-307
00:00:46:688,,21377.9,34.3501,100.415,3.12099,2,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,1776,-412.688,518.25,-412.688,1776,518.25,0,2.22518e-307,9.34562e-307
00:00:47:705,,20828.9,-549.047,172.304,5.35539,2,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,2026.56,-335.875,-169.688,-335.875,2026.56,-169.688,0,2.22518e-307,9.34562e-307
00:00:48:720,,20700.1,-128.791,165.309,5.13797,2.23607,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,1706.63,210.875,-135.438,210.875,1706.63,-135.438,0,2.22518e-307,9.34562e-307
00:00:49:735,,20346,-354.126,124.942,3.88333,1.41421,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,196,-279.188,-24.3125,-279.188,196,-24.3125,0,2.22518e-307,9.34562e-307
00:00:50:752,,20283.5,-62.4357,223.754,6.95448,2,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-893.688,-311.313,14.25,-311.313,-893.688,14.25,0,2.22518e-307,9.34562e-307
00:00:51:768,,20122.5,-161.068,159.981,4.97238,2,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-376.625,144.313,216.5,144.313,-376.625,216.5,0,2.22518e-307,9.34562e-307
00:00:52:783,,20086.5,-35.9433,144.209,4.48216,2.44949,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,41.3125,-151.313,-375.438,-151.313,41.3125,-375.438,0,2.22518e-307,9.34562e-307
00:00:53:800,,19804.9,-281.618,157.169,4.88496,2,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,54.5625,155.688,-68.1875,155.688,54.5625,-68.1875,0,2.22518e-307,9.34562e-307
00:00:54:816,,19759,-45.9502,169.477,5.26753,2.23607,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-20.4375,157.313,-211.75,157.313,-20.4375,-211.75,0,2.22518e-307,9.34562e-307
00:00:55:833,,19616.1,-142.886,146.653,4.55813,2.23607,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-30.6875,27.9375,-197.313,27.9375,-30.6875,-197.313,0,2.22518e-307,9.34562e-307
00:00:56:848,,19526.1,-90.0015,140.364,4.36266,2,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-6.8125,92.5625,-287.813,92.5625,-6.8125,-287.813,0,2.22518e-307,9.34562e-307
00:00:57:849,,19279.4,-246.642,139.293,4.32935,2.23607,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,32.9375,-48.4375,-388.375,-48.4375,32.9375,-388.375,0,2.22518e-307,9.34562e-307
00:00:58:863,,19143.1,-136.302,123.809,3.8481,1.41421,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-41.0625,-102,-438.5,-102,-41.0625,-438.5,0,2.22518e-307,9.34562e-307
00:00:59:879,,19011.7,-131.478,122.163,3.79694,2,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-75.1875,-4.25,-359,-4.25,-75.1875,-359,0,2.22518e-307,9.34562e-307
00:01:00:895,,18861.8,-149.858,140.62,4.3706,1.41421,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,44.875,-98.6875,-279.313,-98.6875,44.875,-279.313,0,2.22518e-307,9.34562e-307
00:01:01:912,,18765.3,-96.5138,156.654,4.86896,1.73205,32.9338,-106.884,N 32° 56.0299',W 106° 53.0213',50.3125,51.625,-272.063,51.625,50.3125,-272.063,0,2.22518e-307,9.34562e-307
00:01:02:926,,18642.6,-122.686,141.228,4.3895,2,32.9337,-106.884,N 32° 56.0242',W 106° 53.0187',-14.5,39.375,-216.813,39.375,-14.5,-216.813,0,2.22518e-307,9.34562e-307
00:01:03:927,,18498.8,-143.836,108.824,3.38236,2.23607,32.9337,-106.884,N 32° 56.0205',W 106° 53.0153',2.9375,-126.438,-361.938,-126.438,2.9375,-361.938,0,2.22518e-307,9.34562e-307
00:01:04:943,,18418.1,-80.7002,150.174,4.66756,1,32.9336,-106.884,N 32° 56.0175',W 106° 53.0136',121.125,4.0625,-334.438,4.0625,121.125,-334.438,0,2.22518e-307,9.34562e-307
