,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,620.335,621.582,,1.12587
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
-00:00:01:536,,0,0,28.1908,0.876197,1,32.9435,-106.914,N 32° 56.6083',W 106° 54.846',-0.4375,1,-0.1875,1,-0.4375,-0.1875,0,4.28084e-313,nan
-00:00:02:442,,-0.317748,-0.317748,32.0834,0.997185,1,32.9435,-106.914,N 32° 56.6083',W 106° 54.846',-0.75,1,-0.0625,1,-0.75,-0.0625,0,4.28084e-313,nan
-00:00:03:343,,-0.635493,-0.317745,32.1878,1.00043,1,32.9435,-106.914,N 32° 56.6082',W 106° 54.846',-0.375,0.9375,-0.0625,0.9375,-0.375,-0.0625,0,4.28084e-313,nan
-00:00:04:244,,-0.635493,0,31.8226,0.989077,1,32.9435,-106.914,N 32° 56.6083',W 106° 54.846',0.75,1.125,-0.375,1.125,0.75,-0.375,0,4.28084e-313,nan
-00:00:05:145,,-0.635493,0,32.1374,0.998864,1,32.9435,-106.914,N 32° 56.6083',W 106° 54.846',-0.875,1.0625,0,1.0625,-0.875,0,0,4.28084e-313,nan
-00:00:06:046,,-0.635493,0,32.6844,1.01586,1,32.9435,-106.914,N 32° 56.6083',W 106° 54.846',-0.375,0.75,-0.1875,0.75,-0.375,-0.1875,0,4.28084e-313,nan
-00:00:06:948,,-0.953234,-0.317742,32.2572,1.00259,1,32.9435,-106.914,N 32° 56.6083',W 106° 54.8459',1.0625,1.0625,0,1.0625,1.0625,0,0,4.28084e-313,nan
-00:00:07:855,,-0.953234,0,32.1636,0.999676,1,32.9435,-106.914,N 32° 56.6083',W 106° 54.8459',-1.125,1.0625,0,1.0625,-1.125,0,0,4.28084e-313,nan
-00:00:08:755,,0,0.953234,32.2009,1.00083,1,32.9435,-106.914,N 32° 56.6082',W 106° 54.8459',-0.8125,1.1875,-0.125,1.1875,-0.8125,-0.125,0,4.28084e-313,nan
-00:00:09:671,,-0.635493,-0.635493,32.1583,0.999513,1,32.9435,-106.914,N 32° 56.6082',W 106° 54.846',-0.75,0.9375,-0.125,0.9375,-0.75,-0.125,0,4.28084e-313,nan
-00:00:10:587,,-0.317748,0.317745,32.2443,1.00219,1,32.9435,-106.914,N 32° 56.6082',W 106° 54.846',-0.6875,1,-0.3125,1,-0.6875,-0.3125,0,4.28084e-313,nan
-00:00:11:503,,-0.635493,-0.317745,32.2335,1.00185,1,32.9435,-106.914,N 32° 56.6082',W 106° 54.846',-0.3125,1,-0.25,1,-0.3125,-0.25,0,4.28084e-313,nan
-00:00:12:403,,-0.317748,0.317745,32.173,0.99997,1,32.9435,-106.914,N 32° 56.6082',W 106° 54.8459',-0.5,1.0625,0,1.0625,-0.5,0,0,4.28084e-313,nan
-00:00:13:319,,-0.953234,-0.635486,32.175,1.00003,1,32.9435,-106.914,N 32° 56.6082',W 106° 54.8459',-1,1,-0.0625,1,-1,-0.0625,0,4.28084e-313,nan
-00:00:14:234,,-0.635493,0.317742,32.1999,1.00081,1,32.9435,-106.914,N 32° 56.6082',W 106° 54.8459',-0.4375,0.875,15.875,0.875,-0.4375,15.875,0,4.28084e-313,nan
-00:00:15:134,,-0.635493,0,32.4205,1.00766,1,32.9435,-106.914,N 32° 56.6082',W 106° 54.8459',-0.1875,1.125,-0.1875,1.125,-0.1875,-0.1875,0,4.28084e-313,nan
-00:00:16:050,,-1.27097,-0.63548,31.9679,0.993595,1,32.9435,-106.914,N 32° 56.6081',W 106° 54.8459',-1.1875,1,0,1,-1.1875,0,0,4.28084e-313,nan
-00:00:16:967,,-0.635493,0.63548,32.3897,1.0067,1,32.9435,-106.914,N 32° 56.6081',W 106° 54.8459',0.3125,1.1875,-0.125,1.1875,0.3125,-0.125,0,4.28084e-313,nan
-00:00:17:883,,-0.953234,-0.317742,32.228,1.00168,1,32.9435,-106.914,N 32° 56.6081',W 106° 54.8459',-0.625,1,0,1,-0.625,0,0,4.28084e-313,nan
-00:00:18:799,,0,0.953234,32.0465,0.996036,1,32.9435,-106.914,N 32° 56.6081',W 106° 54.8459',0.1875,0.875,-0.25,0.875,0.1875,-0.25,0,4.28084e-313,nan
-00:00:19:715,,-0.635493,-0.635493,32.3354,1.00502,1,32.9435,-106.914,N 32° 56.6081',W 106° 54.8459',-0.8125,0.9375,0,0.9375,-0.8125,0,0,4.28084e-313,nan
-00:00:20:630,,-0.317748,0.317745,32.1322,0.9987,1,32.9435,-106.914,N 32° 56.6081',W 106° 54.8459',-1,0.9375,0.0625,0.9375,-1,0.0625,0,4.28084e-313,nan
-00:00:21:531,,-0.317748,0,32.2179,1.00136,1,32.9435,-106.914,N 32° 56.6081',W 106° 54.8459',-0.6875,0.9375,-0.1875,0.9375,-0.6875,-0.1875,0,4.28084e-313,nan
-00:00:22:446,,0,0.317748,32.2113,1.00116,1,32.9435,-106.914,N 32° 56.6081',W 106° 54.8459',-0.4375,0.9375,-0.25,0.9375,-0.4375,-0.25,0,4.28084e-313,nan
-00:00:23:362,,-0.635493,-0.635493,32.1322,0.998702,1,32.9435,-106.914,N 32° 56.6081',W 106° 54.8459',-0.25,1.125,0,1.125,-0.25,0,0,4.28084e-313,nan
-00:00:24:262,,-0.635493,0,32.147,0.999161,1,32.9435,-106.914,N 32° 56.6081',W 106° 54.8459',-0.375,1,-0.25,1,-0.375,-0.25,0,4.28084e-313,nan
-00:00:25:178,,-1.27097,-0.63548,32.1782,1.00013,1,32.9435,-106.914,N 32° 56.608',W 106° 54.8459',-0.3125,0.875,-0.1875,0.875,-0.3125,-0.1875,0,4.28084e-313,nan
-00:00:26:094,,-0.317748,0.953225,32.2253,1.0016,1,32.9435,-106.914,N 32° 56.608',W 106° 54.8458',-0.5625,1.0625,-0.0625,1.0625,-0.5625,-0.0625,0,4.28084e-313,nan
-00:00:27:015,,-0.953234,-0.635486,32.213,1.00121,1,32.9435,-106.914,N 32° 56.608',W 106° 54.8458',-0.375,1.125,-0.25,1.125,-0.375,-0.25,0,4.28084e-313,nan
-00:00:27:926,,-0.635493,0.317742,32.2951,1.00376,1,32.9435,-106.914,N 32° 56.608',W 106° 54.8458',-0.125,1,-0.3125,1,-0.125,-0.3125,0,4.28084e-313,nan
-00:00:28:843,,-0.317748,0.317745,32.2815,1.00334,1,32.9435,-106.914,N 32° 56.608',W 106° 54.8458',-0.3125,1,-0.125,1,-0.3125,-0.125,0,4.28084e-313,nan
-00:00:29:758,,-0.635493,-0.317745,32.2438,1.00217,1,32.9435,-106.914,N 32° 56.608',W 106° 54.8458',0,1,-0.125,1,0,-0.125,0,4.28084e-313,nan
-00:00:30:658,,-1.27097,-0.63548,32.1652,0.999725,1,32.9435,-106.914,N 32° 56.608',W 106° 54.8458',-0.1875,1.125,-0.0625,1.125,-0.1875,-0.0625,0,4.28084e-313,nan
-00:00:31:574,,-1.27097,0,32.1793,1.00017,1,32.9435,-106.914,N 32° 56.608',W 106° 54.8458',-0.3125,1,-0.25,1,-0.3125,-0.25,0,4.28084e-313,nan
-00:00:32:490,,-0.953234,0.317739,32.1884,1.00045,1,32.9435,-106.914,N 32° 56.608',W 106° 54.8458',-0.75,0.9375,-0.1875,0.9375,-0.75,-0.1875,0,4.28084e-313,nan
-00:00:33:406,,-0.317748,0.635486,32.3321,1.00491,1,32.9435,-106.914,N 32° 56.608',W 106° 54.8458',-0.3125,1.125,-0.125,1.125,-0.3125,-0.125,0,4.28084e-313,nan
-00:00:34:322,,-0.635493,-0.317745,32.2131,1.00122,1,32.9435,-106.914,N 32° 56.6079',W 106° 54.8458',-0.75,1,-0.125,1,-0.75,-0.125,0,4.28084e-313,nan
-00:00:35:238,,-0.635493,0,32.0908,0.997413,1,32.9435,-106.914,N 32° 56.6079',W 106° 54.8458',-0.25,0.9375,-0.0625,0.9375,-0.25,-0.0625,0,4.28084e-313,nan
-00:00:36:154,,-0.635493,0,32.1414,0.998986,1,32.9435,-106.914,N 32° 56.6079',W 106° 54.8458',0,1.0625,-0.1875,1.0625,0,-0.1875,0,4.28084e-313,nan
-00:00:37:070,,-0.953234,-0.317742,32.1715,0.999923,1,32.9435,-106.914,N 32° 56.6079',W 106° 54.8457',-0.5625,1,-0.125,1,-0.5625,-0.125,0,4.28084e-313,nan
-00:00:37:987,,0,0.953234,32.1619,0.999624,1,32.9435,-106.914,N 32° 56.6079',W 106° 54.8457',-0.625,1,15.875,1,-0.625,15.875,0,4.28084e-313,nan
-00:00:38:903,,-0.635493,-0.635493,32.4518,1.00863,1,32.9435,-106.914,N 32° 56.6079',W 106° 54.8456',-0.5625,0.875,-0.0625,0.875,-0.5625,-0.0625,0,4.28084e-313,nan
-00:00:39:819,,-0.635493,0,32.0405,0.995849,1,32.9435,-106.914,N 32° 56.6079',W 106° 54.8455',0.125,1.3125,-0.125,1.3125,0.125,-0.125,0,4.28084e-313,nan
-00:00:40:734,,-0.635493,0,32.2332,1.00184,1,32.9435,-106.914,N 32° 56.6078',W 106° 54.8455',-0.6875,0.6875,-0.0625,0.6875,-0.6875,-0.0625,0,4.28084e-313,nan
-00:00:41:651,,-0.317748,0.317745,32.1874,1.00042,1,32.9435,-106.914,N 32° 56.6078',W 106° 54.8454',0,1.125,-0.0625,1.125,0,-0.0625,0,4.28084e-313,nan
-00:00:42:567,,-0.317748,0,32.1895,1.00048,1,32.9435,-106.914,N 32° 56.6079',W 106° 54.8454',0.5,0.875,-0.1875,0.875,0.5,-0.1875,0,4.28084e-313,nan
-00:00:43:483,,-0.953234,-0.635486,32.3227,1.00462,1,32.9435,-106.914,N 32° 56.6079',W 106° 54.8455',-1.375,0.8125,-0.125,0.8125,-1.375,-0.125,0,4.28084e-313,nan
-00:00:44:383,,-0.317748,0.635486,32.2129,1.00121,1,32.9435,-106.914,N 32° 56.6079',W 106° 54.8454',0.375,1.0625,0,1.0625,0.375,0,0,4.28084e-313,nan
-00:00:45:298,,-0.953234,-0.635486,32.09,0.997389,1,32.9435,-106.914,N 32° 56.6079',W 106° 54.8454',-2.375,1.0625,-0.25,1.0625,-2.375,-0.25,0,4.28084e-313,nan
-00:00:46:215,,0,0.953234,32.2713,1.00302,1,32.9435,-106.914,N 32° 56.6079',W 106° 54.8454',-0.25,1.125,0,1.125,-0.25,0,0,4.28084e-313,nan
-00:00:47:131,,-1.27097,-1.27097,32.1739,0.999998,1,32.9435,-106.914,N 32° 56.6079',W 106° 54.8454',0.125,1.1875,-0.125,1.1875,0.125,-0.125,0,4.28084e-313,nan
-00:00:48:035,,-1.27097,0,32.1878,1.00043,1,32.9435,-106.914,N 32° 56.608',W 106° 54.8454',-0.0625,0.9375,-0.25,0.9375,-0.0625,-0.25,0,4.28084e-313,nan
-00:00:48:946,,-0.317748,0.953225,32.2585,1.00262,1,32.9435,-106.914,N 32° 56.608',W 106° 54.8454',-0.5625,0.9375,-0.125,0.9375,-0.5625,-0.125,0,4.28084e-313,nan
-00:00:49:862,,-0.635493,-0.317745,32.2252,1.00159,1,32.9435,-106.914,N 32° 56.608',W 106° 54.8454',-0.3125,1.0625,-0.1875,1.0625,-0.3125,-0.1875,0,4.28084e-313,nan
-00:00:50:779,,-0.635493,0,32.2068,1.00102,1,32.9435,-106.914,N 32° 56.608',W 106° 54.8454',-0.6875,1,-0.25,1,-0.6875,-0.25,0,4.28084e-313,nan
-00:00:51:694,,-1.27097,-0.63548,32.1672,0.999788,1,32.9435,-106.914,N 32° 56.608',W 106° 54.8454',-0.3125,0.9375,-0.1875,0.9375,-0.3125,-0.1875,0,4.28084e-313,nan
-00:00:52:610,,0,1.27097,32.417,1.00755,1,32.9435,-106.914,N 32° 56.6081',W 106° 54.8454',-0.5,1.125,-0.125,1.125,-0.5,-0.125,0,4.28084e-313,nan
-00:00:53:526,,0,0,32.5255,1.01093,1,32.9435,-106.914,N 32° 56.6081',W 106° 54.8455',1.125,1.4375,0,1.4375,1.125,0,0,4.28084e-313,nan
-00:00:54:442,,-0.317748,-0.317748,32.4272,1.00787,1,32.9435,-106.914,N 32° 56.6082',W 106° 54.8455',-0.875,0.875,-0.125,0.875,-0.875,-0.125,0,4.28084e-313,nan
-00:00:55:359,,-0.635493,-0.317745,32.2696,1.00297,1,32.9435,-106.914,N 32° 56.6082',W 106° 54.8456',0.6875,0.9375,-0.0625,0.9375,0.6875,-0.0625,0,4.28084e-313,nan
-00:00:56:275,,-0.635493,0,32.2563,1.00256,1,32.9435,-106.914,N 32° 56.6083',W 106° 54.8456',-15.9375,1,-0.1875,1,-15.9375,-0.1875,0,4.28084e-313,nan
-00:00:57:191,,-0.317748,0.317745,32.2677,1.00291,1,32.9435,-106.914,N 32° 56.6083',W 106° 54.8457',-0.1875,1.125,0,1.125,-0.1875,0,0,4.28084e-313,nan
-00:00:58:107,,-0.635493,-0.317745,32.1375,0.998864,1,32.9435,-106.914,N 32° 56.6084',W 106° 54.8457',-0.3125,0.875,-0.25,0.875,-0.3125,-0.25,0,4.28084e-313,nan
-00:00:59:024,,-0.635493,0,32.256,1.00255,1,32.9435,-106.914,N 32° 56.6084',W 106° 54.8457',-0.375,0.875,-0.1875,0.875,-0.375,-0.1875,0,4.28084e-313,nan
-00:00:59:939,,0.953262,1.58875,32.1605,0.99958,1,32.9435,-106.914,N 32° 56.6084',W 106° 54.8457',-1.25,0.8125,-0.3125,0.8125,-1.25,-0.3125,0,4.28084e-313,nan
-00:01:00:855,,-0.317748,-1.27101,32.0587,0.996418,1,32.9435,-106.914,N 32° 56.6084',W 106° 54.8457',1.5625,1.0625,-0.1875,1.0625,1.5625,-0.1875,0,4.28084e-313,nan
-00:01:01:755,,0.317751,0.635499,32.6368,1.01438,1,32.9435,-106.914,N 32° 56.6085',W 106° 54.8457',-4.875,0.9375,-0.6875,0.9375,-4.875,-0.6875,0,4.28084e-313,nan
-00:01:02:671,,-0.953234,-1.27099,32.2478,1.00229,1,32.9435,-106.914,N 32° 56.6085',W 106° 54.8458',-1.4375,1,-0.5,1,-1.4375,-0.5,0,4.28084e-313,nan
-00:01:03:587,,-0.635493,0.317742,32.3695,1.00608,1,32.9435,-106.914,N 32° 56.6086',W 106° 54.8458',-1.1875,1.125,-0.25,1.125,-1.1875,-0.25,0,4.28084e-313,nan
-00:01:04:508,,-0.317748,0.317745,31.8716,0.990602,1,32.9435,-106.914,N 32° 56.6086',W 106° 54.8458',1.3125,0.8125,0,0.8125,1.3125,0,0,4.28084e-313,nan
-00:01:05:419,,-0.317748,0,32.3329,1.00494,1,32.9435,-106.914,N 32° 56.6086',W 106° 54.8458',-2.625,1.0625,-0.375,1.0625,-2.625,-0.375,0,4.28084e-313,nan
-00:01:06:319,,0,0.317748,32.1482,0.999198,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-1.5625,0.9375,-0.1875,0.9375,-1.5625,-0.1875,0,4.28084e-313,nan
-00:01:07:234,,-0.635493,-0.635493,32.3049,1.00407,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',0,1,-0.125,1,0,-0.125,0,4.28084e-313,nan
-00:01:08:134,,-0.635493,0,32.2237,1.00154,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-0.625,0.9375,0,0.9375,-0.625,0,0,4.28084e-313,nan
-00:01:09:050,,-0.635493,0,32.2824,1.00337,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',2.5625,1.125,-0.125,1.125,2.5625,-0.125,0,4.28084e-313,nan
-00:01:09:950,,-0.635493,0,32.3479,1.0054,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-1,0.9375,-0.125,0.9375,-1,-0.125,0,4.28084e-313,nan
-00:01:10:866,,-0.317748,0.317745,32.3017,1.00397,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-2,0.875,0,0.875,-2,0,0,4.28084e-313,nan
-00:01:11:782,,0,0.317748,32.1933,1.0006,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8457',-0.5625,1,-0.3125,1,-0.5625,-0.3125,0,4.28084e-313,nan
