Time----------,Event----------,Altitude----------,Velocity----------,Acceleration----------,Latitude----------,Longitude----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
00:00:01:013,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:02:026,Apogee,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:03:039,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:04:052,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:05:062,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:06:066,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:07:080,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:08:089,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:09:102,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:10:115,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:11:116,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:12:122,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:13:137,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:14:155,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:15:168,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:16:191,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:17:196,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:18:206,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:19:219,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
00:00:20:236,,80007.3,0,75663.8,40.0651,-105.21,0,0,0,0,0,0,0,6.68902e-198,1.65639e-295
