,,Max Altitude,Max Velocity,,Max Acceleration(G),,,,,,,,,,,,,
,,398.593,1.95,,3.10161,,,,,,,,,,,,,
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
-00:00:01:008,,393.3,0,34.3158,1.06657,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,0,0.125,-0.25,0.125,0,-0.25,0,6.95E-308,1.45357e-311
-00:00:02:018,Apogee,392.464,-0.835639,34.1515,1.06146,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,2.6875,1.9375,-1.8125,1.9375,2.6875,-1.8125,0,6.95E-308,1.45357e-311
-00:00:03:031,,393.579,1.11419,33.2476,1.03337,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-1.1875,0.375,-0.5,0.375,-1.1875,-0.5,0,6.95E-308,1.45357e-311
-00:00:04:043,Apogee,393.021,-0.5571,33.861,1.05243,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1.0625,-0.125,1.0625,-0.5625,-0.125,0,6.95E-308,1.45357e-311
-00:00:05:057,,393.579,0.5571,33.8449,1.05193,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,0.9375,-0.1875,0.9375,-0.5625,-0.1875,0,6.95E-308,1.45357e-311
-00:00:06:080,,393.857,0.278553,33.8779,1.05296,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.375,0.8125,-0.0625,0.8125,-0.375,-0.0625,0,6.95E-308,1.45357e-311
-00:00:07:084,Apogee,393.021,-0.835653,33.9907,1.05646,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,0.875,-0.25,0.875,-0.4375,-0.25,0,6.95E-308,1.45357e-311
-00:00:08:089,,393.579,0.5571,33.7646,1.04944,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1.1875,-0.125,1.1875,-0.5625,-0.125,0,6.95E-308,1.45357e-311
-00:00:09:091,,393.579,0,33.8777,1.05295,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.3125,0.8125,-0.0625,0.8125,-0.3125,-0.0625,0,6.95E-308,1.45357e-311
-00:00:10:092,,392.743,-0.835646,34.0722,1.059,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1,0,1,-0.5625,0,0,6.95E-308,1.45357e-311
-00:00:11:094,,393.579,0.835646,33.8772,1.05294,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,1,-0.125,1,-0.4375,-0.125,0,6.95E-308,1.45357e-311
-00:00:12:095,,393.857,0.278553,34.1209,1.06051,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.375,0.9375,-0.25,0.9375,-0.375,-0.25,0,6.95E-308,1.45357e-311
-00:00:13:097,,393.579,-0.278553,33.7636,1.04941,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,1.0625,-0.125,1.0625,-0.625,-0.125,0,6.95E-308,1.45357e-311
-00:00:14:098,,393.3,-0.278551,33.8614,1.05245,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,1,0,1,-0.4375,0,0,6.95E-308,1.45357e-311
-00:00:15:099,,393.021,-0.278549,34.2016,1.06302,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.375,1.0625,-0.125,1.0625,-0.375,-0.125,0,6.95E-308,1.45357e-311
-00:00:16:101,,393.3,0.278549,33.7497,1.04897,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,1.0625,-0.125,1.0625,-0.5,-0.125,0,6.95E-308,1.45357e-311
-00:00:17:114,,393.857,0.557104,34.1047,1.06001,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.875,-0.125,0.875,-0.5,-0.125,0,6.95E-308,1.45357e-311
-00:00:18:127,,393.579,-0.278553,33.8937,1.05345,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.6875,-0.0625,0.6875,-0.5,-0.0625,0,6.95E-308,1.45357e-311
-00:00:19:144,,392.743,-0.835646,33.861,1.05243,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.4375,0.875,-0.1875,0.875,-0.4375,-0.1875,0,6.95E-308,1.45357e-311
-00:00:20:193,,394.136,1.39275,33.7486,1.04894,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,0.75,-0.125,0.75,-0.5,-0.125,0,6.95E-308,1.45357e-311
-00:00:21:200,Apogee,393.579,-0.557109,33.8616,1.05245,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1.0625,-0.125,1.0625,-0.5625,-0.125,0,6.95E-308,1.45357e-311
-00:00:22:229,,393.857,0.278553,33.9908,1.05647,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1,-0.125,1,-0.5625,-0.125,0,6.95E-308,1.45357e-311
-00:00:23:259,,393.579,-0.278553,33.926,1.05446,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1.0625,-0.25,1.0625,-0.5625,-0.25,0,6.95E-308,1.45357e-311
