,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,248.787,1.94059,,1.45764
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
-00:00:01:231,,245.737,0,33.7833,1.05002,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.6875,0.8125,0.125,0.8125,-0.6875,0.125,0,5.60175e-317,2.08697e-305
-00:00:02:241,,246.015,0.277223,33.7981,1.05048,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,1.125,0.125,1.125,-0.625,0.125,0,5.60175e-317,2.08697e-305
-00:00:03:254,,245.183,-0.831663,33.8521,1.05216,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.75,0.75,0.0625,0.75,-0.75,0.0625,0,5.60175e-317,2.08697e-305
-00:00:04:267,,245.46,0.277219,33.8494,1.05207,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.75,1,0.125,1,-0.75,0.125,0,5.60175e-317,2.08697e-305
-00:00:05:280,,245.46,0,33.9714,1.05587,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,1,0.125,1,-0.5,0.125,0,5.60175e-317,2.08697e-305
-00:00:06:293,,246.015,0.554444,33.9147,1.0541,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1.125,0.1875,1.125,-0.5625,0.1875,0,5.60175e-317,2.08697e-305
-00:00:07:306,,246.015,0,33.7996,1.05052,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.6875,1,0.0625,1,-0.6875,0.0625,0,5.60175e-317,2.08697e-305
-00:00:08:320,,245.737,-0.277223,33.8145,1.05099,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,0.9375,0.125,0.9375,-0.5625,0.125,0,5.60175e-317,2.08697e-305
-00:00:09:333,,245.183,-0.55444,33.8707,1.05273,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.6875,0.9375,0.1875,0.9375,-0.6875,0.1875,0,5.60175e-317,2.08697e-305
-00:00:10:346,,245.737,0.55444,33.8662,1.05259,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.75,0.9375,0.125,0.9375,-0.75,0.125,0,5.60175e-317,2.08697e-305
-00:00:11:359,,245.737,0,33.9622,1.05558,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,0.9375,0.0625,0.9375,-0.625,0.0625,0,5.60175e-317,2.08697e-305
-00:00:12:372,,244.906,-0.831656,33.8474,1.05201,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.6875,0.875,-0.0625,0.875,-0.6875,-0.0625,0,5.60175e-317,2.08697e-305
-00:00:13:385,,245.737,0.831656,33.9201,1.05427,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5,1.0625,0.0625,1.0625,-0.5,0.0625,0,5.60175e-317,2.08697e-305
-00:00:14:398,,245.737,0,33.7881,1.05017,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.5625,1,0,1,-0.5625,0,0,5.60175e-317,2.08697e-305
-00:00:15:411,,245.183,-0.55444,33.8209,1.05119,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.6875,1,0.0625,1,-0.6875,0.0625,0,5.60175e-317,2.08697e-305
-00:00:16:424,,246.015,0.831663,33.8922,1.0534,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,0.9375,0.125,0.9375,-0.625,0.125,0,5.60175e-317,2.08697e-305
-00:00:17:437,,244.906,-1.10888,33.7062,1.04762,0,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,-0.625,1,0,1,-0.625,0,0,5.60175e-317,2.08697e-305
